title,text,subject,is_fake_news
 Leaked Email Proves Trump Officials Aware Russia Had ‘Thrown The USA Election’ To Trump,"Donald Trump s current deputy national security adviser K.T. McFarland, a former Fox News personality, K. T. McFarland admitted in an email to a colleague during the 2016 presidential transition to Russia throwing the election to Trump. The leaked email was written just weeks before Trump s inauguration and it states that sanctions would make it difficult to ease relations with Russia,  which has just thrown the U.S.A. election to him. The New York Times reports:But emails among top transition officials, provided or described to The New York Times, suggest that Mr. Flynn was far from a rogue actor. In fact, the emails, coupled with interviews and court documents filed on Friday, showed that Mr. Flynn was in close touch with other senior members of the Trump transition team both before and after he spoke with the Russian ambassador, Sergey I. Kislyak, about American sanctions against Russia.A White House lawyer tried to explain McFarland s email to the The Times by saying that she was referring to the Democrats  portrayal of the election. That doesn t make any sense, by the way.McFarland wrote the email to Thomas P. Bossert, who currently serves as Trump s homeland security adviser, then he forwarded it to future National Security Advisor Michael Flynn (now indicted), future Chief of Staff Reince Priebus, future senior strategist Stephen Bannon, and future press secretary Sean Spicer, the Daily Beast reports.With all the pearl-clutching we witnessed from conservatives about Hillary Clinton s emails, you d think they wouldn t be sending messages about Russia throwing the election to Trump.This past March, John Oliver, the host of the HBO comedy show Last Week Tonight started a segment called  Stupid Watergate,  which he described as  a scandal with all the potential ramifications of Watergate, but where everyone involved is stupid and bad at everything. Nailed it!Photo by Chip Somodevilla/Getty Images.",News,yes
 Fox News Bans Gene Simmons For Life For Harassing Staff Off Camera,"Gene Simmons, the 68-year-old Kiss bassist and co-lead singer, contestant on The Celebrity Apprentice for a grand total of three episodes back in 2008, self-proclaimed womanizer, and all-around poster-boy for washed up, aging rock stars who will stop at nothing to keep their names in the rapidly-diminishing spotlight, has stooped to a new low in his battle against irrelevancy   He has been given a lifetime ban from Fox News.When it comes to Fox News, the network has a tendency to be a little lenient on the issue of behavior of sexual nature, a reputation that screams  Hold my beer!  to a man like Gene Simmons. On what was far from his first appearance on the network, Simmons was a guest last Wednesday on Fox and Friends, as well as Fox Business Network s Mornings With Maria, to promote his new book, On Power. Gene Simmons, who claims to know Donald Trump  very well  and that the current President s critics should  get over it,  couldn t be faulted for his onscreen appearance, even helping with the weather report:MUST SEE: @genesimmons helps @JaniceDean with the weather! pic.twitter.com/EFfRQESNuq  FOX & friends (@foxandfriends) November 15, 2017Simmons also sat on a panel with Mornings With Maria host Maria Bartiromo and gave his view on the Harvey Weinstein sexual-misconduct case. The lunatics have taken over the insane asylum when respected business entities such as yourself ask guys that like to stick their tongues out what I think of Harvey Weinstein,  Simmons answered.  Okay, I m a powerful and attractive man, and what I m about to say is deadly serious,  he added.  Men are jackasses. From the time we re young we have testosterone. I m not validating it or defending it. As is always the case, however, it was when the cameras weren t rolling that things began to get creepy and also quite hypocritical. According to a knowledgeable Fox News source, Simmons arrived on the studio s fourteenth floor to do an interview with FoxNews.com s entertainment section to promote his book, but also chose to walk into a staff meeting uninvited, opened his shirt and shouted,  Hey chicks, sue me! He didn t stop there, though. The source claims he went on to tell pedophilia-related Michael Jackson jokes, hit two employees on the head with his book while making comparisons on their intelligence based on the sounds, and asked an African-American employee if he was Al Roker.  It was pretty severe,  the source said.Simmons  behavior was reported to a supervisor, who in turn passed the news on to Fox News human-resources executive Kevin Lord, who promptly banned Simmons from the building. He was also permanently barred from appearing on any Fox News or Fox Business Networkprogramming.It seems that Gene Simmons may have had a change of heart over the past week, as he has released the following statement: I have appeared frequently over the years on various Fox News and Fox Business programs and have a tremendous amount of respect for the talented women and men who work there. While I believe that what is being reported is highly exaggerated and misleading, I am sincerely sorry that I unintentionally offended members of the Fox team during my visit. Although Simmons  interview with FoxNews.com was recorded, it will not be released.Featured image via Astrid Stawiarz/Getty Images",News,yes
 That Time Trump Mocked Marco Rubio For Drinking Water Just Came Back To Haunt Him,"While on the campaign trail, candidate Donald Trump, a former reality show star, repeatedly mocked Sen. Marco Rubio for that time he drank water on the stage. Trump mocked Rubio at rallies about that and on Twitter, too. As they say, with this guy, there really is a tweet for everything. Trump did this after he kicked off his day blasting that  loser  network CNN, the  failing  New York Times and demanded a  thank you  from the UCLA basketball players who arrived in the states after being released from China. Then he summarized his trip to Asia, declaring it to be  the longest visit to the region by an American president in more than a quarter of a century.  He added that  America is back and the future has never looked better.  Then he seemed to have difficulty breathing and paused for water.Here is Trump doing that think he disparaged Rubio for doing:more proof that we're living in a simulation pic.twitter.com/7fGMxvRKUj  kevin driscoll (@kevndriscoll) November 15, 2017Trump grabbed a bottle of Fiji to quench his thirst, the exact brand that Rubio drank during the campaign. The Florida Republican responded on Twitter, saying,  Similar, but needs work on his form. Has to be done in one single motion & eyes should never leave the camera. But not bad for his 1st time. Similar,but needs work on his form.Has to be done in one single motion & eyes should never leave the camera. But not bad for his 1st time https://t.co/s49JtyRo3S  Marco Rubio (@marcorubio) November 15, 2017Trump has blasted Rubio multiple times for drinking water, perhaps because the former reality show star thinks he can walk on water. Next time Marco Rubio should drink his water from a glass as opposed to a bottle would have much less negative impact,  he tweeted.Next time Marco Rubio should drink his water from a glass as opposed to a bottle would have much less negative impact.  Donald J. Trump (@realDonaldTrump) February 13, 2013In another tweet, he wrote,  Marco Rubio is being crucified by the media for drinking water during speech! Marco Rubio is being crucified by the media for drinking water during speech!  Donald J. Trump (@realDonaldTrump) February 13, 2013And here is Trump at a rally mocking Rubio for drinking water.More than a tweet, there's also a video of Trump mocking Rubio's SOTU water moment. pic.twitter.com/dkKyrOIUGO  Kyle Griffin (@kylegriffin1) November 15, 2017The Internet never forgets these things.2 hands Donny no dribbles good boy  El Diablo ? (@joe23gavbrown) November 15, 2017OMG, there REALLY IS a tweet for every single thing!  Jennifer Sage??  (@vivavelo) November 15, 2017Hey lil-fingers: Take your own advice?  Russell Drapkin (@russelldrapkin) November 15, 2017Great work, Donald. pic.twitter.com/aG5vtxaFgt  Craig Harrington (@Craigipedia) November 15, 2017Trump pulls a Marco Rubio & slurps down water during his speech. But it s worse than Rubio. Trump holds the bottle with two hands like it s a baby bottle. Fitting.#ImpeachTrump #AMJoy pic.twitter.com/5CPKzSSCKq  Scott Dworkin (@funder) November 15, 2017Everything Trump accuses someone else of doing, he is guilty of that same thing, even something as simple as needing to quench his thirst.Image via screen capture. ",News,yes
" Fresh Off The Golf Course, Trump Lashes Out At FBI Deputy Director And James Comey","Donald Trump spent a good portion of his day at his golf club, marking the 84th day he s done so since taking the oath of office. It must have been a bad game because just after that, Trump lashed out at FBI Deputy Director Andrew McCabe on Twitter following a report saying McCabe plans to retire in a few months. The report follows McCabe s testimony in front of congressional committees this week, as well as mounting criticism from Republicans regarding the Russia probe.So, naturally, Trump attacked McCabe with a lie. How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin  James Comey, of the Phony Hillary Clinton investigation (including her 33,000 illegally deleted emails) be given $700,000 for wife s campaign by Clinton Puppets during investigation?  Trump tweeted.How can FBI Deputy Director Andrew McCabe, the man in charge, along with leakin  James Comey, of the Phony Hillary Clinton investigation (including her 33,000 illegally deleted emails) be given $700,000 for wife s campaign by Clinton Puppets during investigation?  Donald J. Trump (@realDonaldTrump) December 23, 2017He didn t stop there.FBI Deputy Director Andrew McCabe is racing the clock to retire with full benefits. 90 days to go?!!!  Donald J. Trump (@realDonaldTrump) December 23, 2017Wow,  FBI lawyer James Baker reassigned,  according to @FoxNews.  Donald J. Trump (@realDonaldTrump) December 23, 2017With all of the Intel at Trump s disposal, he s getting his information from Fox News. McCabe spent most of his career in the fight against terrorism and now he s being attacked by the so-called president. Trump has been fact-checked before on his claim of his wife receiving $700,000 for her campaign.Politifact noted in late July that Trump s  tweet about Andrew McCabe is a significant distortion of the facts. And the implication that McCabe got Clinton off as a political favor doesn t make much sense when we look at the evidence. His July tweet was rated  mostly false.  But Trump repeats these lies because he knows his supporters will believe them without bothering to Google. It s still a lie, though.Photo by Zach Gibson   Pool/Getty Images.",News,yes
 Joe Scarborough: It’s Not Our Imagination – Trump Really Is Losing His Mind (VIDEO),"People have long speculated about Donald Trump s mental state. While it was once seen as unseemly to suggest that a public figure may be crazy, Trump s alarming behavior warrants an exception   especially since he has the nuclear codes. Well, it s not our imagination   and that s not just because we can see with every wild statement and unhinged Twitter rant that something is wrong with Trump. It s because, according to former Republican Congressman and current host of MSNBC s Morning Joe reported on Thursday that several of Trump s allies confided to him that Trump has dementia.Then, Scarborough went all in, and called for the use of the 25th Amendment to remove Trump, and in doing so, decided to list many of Trump s infamous incidences of con artistry in the process: If this is not what the 25th Amendment was drafted for, I would like the Cabinet members serving America   not the president   you serve America, and you know it. You know you don t serve Donald J. Trump. Scam developer, scam Trump University proprietor, reality TV show host. You don t represent him. You represent 320 million people whose lives are literally in your hands, and we are facing a showdown with a nuclear power. You have somebody inside the White House that the New York Daily News says is mentally unfit. That people close to him say is mentally unfit, that people close to him during the campaign told me had early stages of dementia. This is astounding. Joe Scarborough is no liberal. I disagree with a lot of what he says, but he s definitely putting his country before his party, and doing the right thing. It s time for Republicans to stop being cowards and remove Trump.Featured image via Win McNamee/Getty Images",News,yes
Green groups sue Trump administration over delay of methane rule,"WASHINGTON (Reuters) - A coalition of nearly 20 environmental and Native American tribal groups sued the Trump administration on Tuesday, challenging its delay of a rule limiting emissions of the powerful greenhouse gas methane from oil and gas drilling operations on federal lands. Earlier this month, the Bureau of Land Management, part of the Department of the Interior, suspended implementation of the rule for a year, until Jan. 17, 2019, saying it wanted to avoid compliance costs for energy companies as it revises the regulation. The delay “is yet another action taken by the Trump administration to benefit the oil and gas industry at the expense of the American public, particularly the millions of Westerners” who use public lands for ranching, hunting, hiking and other purposes, Darin Schroeder, a lawyer with the Clean Air Task Force, said in a statement. His organization represented the National Wildlife Federation, one of the groups that filed the lawsuit against Interior Secretary Ryan Zinke and his department. Energy companies say the rule, finalized at the end of the Obama administration in 2016, could cost them tens of thousands of dollars per well.  The Trump administration is expected to announce a new draft rule in coming weeks, in line with its policy of maximizing output of oil, gas and coal and dismantling regulations it says prevent job growth.  The rule targets accidental leaks and intentional venting of methane from drilling operations on public lands, where about 9 percent of the country’s natural gas and 5 percent of its oil were produced last fiscal year. Some of its 2017 provisions have already been phased in, but the majority of them have yet to go into effect. The lawsuit, also filed by the Sierra Club, the Environmental Defense Council, and the Diné Citizens Against Ruining Our Environment, a Navajo group, seeks to stop the delay and force the Interior Department to implement the rule in January. It was filed in the U.S. District Court for the Northern District of California in San Francisco.  The Interior Department did not immediately respond to a request for comment on the lawsuit. ",politicsNews,no
Callista Gingrich becomes Trump's envoy to pope as differences mount,"VATICAN CITY (Reuters) - Callista Gingrich, wife of the former speaker of the U.S. House of Representatives, on Friday became U.S. ambassador to the Vatican, which is at odds with Washington over immigration, climate change and Jerusalem. Callista Gingrich, 51, an author, documentary filmmaker and former congressional aide, presented her credentials to Pope Francis at the Vatican to officially assume her role. Her husband Newt Gingrich was an early supporter and vocal ally of U.S. President Donald Trump. Newt Gingrich is expected to continue his role as a political contributor to Fox News from his new base in Rome. Trump’s nomination of Callista Gingrich to the post at the Holy See in May caused some controversy because of her marriage to Gingrich, with whom she became involved when he was still married to his second wife. Both are Roman Catholic. On Thursday they attended the funeral at the Vatican of Cardinal Bernard Law, who resigned as Archbishop of Boston 15 years ago after covering up years of sexual abuse of children by priests.  The pope has implicitly criticized Trump’s decision to pull out of the Paris accord on climate change. He said last month that denying climate change or being indifferent to its effects were “perverse attitudes” that blocked research and dialogue aimed at protecting the future of the planet. Francis is also opposed to Trump’s decision to recognize Jerusalem as Israel’s capital. The pontiff has called for respect for the city’s “status quo,” saying new tension in the Middle East would further inflame world conflicts.. On Thursday at the United Nations, where the Vatican has permanent observer status, more than 120 countries defied Trump and voted in favor of a resolution calling for the United States to drop its recent recognition. The U.S. embassy said in a statement that the new ambassador “looks forward to working with the Holy See to defend human rights, advance religious freedom, combat human trafficking, and to seek peaceful solutions to crises around the world”.    ",politicsNews,no
Court orders Trump administration to give immigrant teens abortion access,"WASHINGTON (Reuters) - A U.S. District Court judge ruled on Monday that President Donald Trump’s administration must allow access to abortion for two pregnant teenagers who are in the country illegally, escalating a high-profile legal fight. Judge Tanya Chutkan put her order on hold, however, to give the U.S. Justice Department time to appeal her ruling.  The Justice Department filed its notice of appeal shortly afterward to the U.S. Court of Appeals for the District of Columbia Circuit. The judge’s temporary restraining order marked the latest chapter in a legal dispute with the Trump administration over whether minors who are illegal immigrants have the right to seek an abortion during their detention. The issue was ignited by a 17-year-old who petitioned the court in October to have an abortion, and ultimately had the procedure over the Trump administration’s objections.  In that instance, the U.S. Court of Appeals for the District of Columbia Circuit ruled on Oct. 24 that the teen could have an abortion immediately, rejecting the administration’s opposition. The two 17-year-olds in the latest legal action, known to the court as Jane Roe and Jane Poe, requested abortions, but the U.S. Office of Refugee Resettlement has refused to allow them access to the procedure. In her ruling, Chutkan wrote that the girls’  “constitutional right to decide whether to carry their pregnancies to term” needed to be preserved.  She also noted they were likely to succeed on the legal merits of their case, based on the prior ruling in the higher court. “We are deeply disappointed in the decision to grant a temporary restraining order that will compel HHS to facilitate abortions for minors when they are not medically necessary,” a spokesman for the U.S. Department of Health and Human Services said in a statement. “A pregnant minor who has entered the country illegally has the option to voluntarily depart to her home country or identify a suitable sponsor. HHS-funded facilities that provide temporary shelter and care for unaccompanied alien minors should not become way stations for these children to get taxpayer-facilitated abortions.”  ",politicsNews,no
 CNN BLISTERS Trump After He Attacks Them For Bad Representation: ‘That’s Your Job’ (TWEETS),"One of Donald Trump s favorite punching bags is CNN. He even once tweeted a GIF image of himself punching a person with a CNN logo superimposed over the head   indicating that he d like to enact violence against CNN s reporters. Then there was the time he tweeted the  Trump Train  roaring over  CNN.  Now, he s back at it   this time suggesting that  fake  CNN should be the ones representing America to the world, and that they are doing a bad job. Here is that tweet:.@FoxNews is MUCH more important in the United States than CNN, but outside of the U.S., CNN International is still a major source of (Fake) news, and they represent our Nation to the WORLD very poorly. The outside world does not see the truth from them!  Donald J. Trump (@realDonaldTrump) November 25, 2017Of course, it is beneath the dignity of most people to respond to a moronic buffoon like Trump under normal circumstances. However, he is currently squatting in the White House, and has his tiny orange hands on the levers of power   not to mention the nuclear codes   so they have to stoop to a Trumpian level when personally attacked. However, being, well, you know, FIT to be doing the job they are doing, the good folks at CNN Communications fired back at Trump, and their response is nothing short of perfect:It's not CNN's job to represent the U.S to the world. That's yours. Our job is to report the news. #FactsFirst   CNN Communications (@CNNPR) November 25, 2017BOOM! Couldn t have asked for a sicker burn than this. And they are right of course   especially the part about #FactsFirst. Trump has a problem with the truth, as we all well know. That s what makes what the CNN Communications people replied so fabulous. It is the ultimate truth   something the likes of the pathological orange liar that is Donald Trump knows nothing about.Featured image via  Andrew Burton/Getty Images",News,yes
Trump commutes fraud sentence of kosher meatpacker,"WASHINGTON (Reuters) - President Donald Trump, in a first exercise of his power to commute criminal sentences, cut short the 27-year prison term of a kosher meatpacking executive who was convicted eight years ago of bank fraud, the White House said on Wednesday. The commutation granted to Sholom Rubashkin, 57, marked only the second time that Trump has invoked his clemency authority as president, following the blanket pardon he granted earlier this year to Joe Arpaio, the former sheriff of Maricopa County in Arizona. Unlike the case of Arpaio, whom a judge had found guilty of contempt in a case involving racial profiling, Trump’s latest action leaves Rubashkin’s conviction intact, as well as terms of his supervised release from federal prison and his obligation to make restitution. Rubashkin was convicted in 2009 of 86 counts of financial fraud that came to light after a government raid on a kosher meatpacking plant in Postville, Iowa, where hundreds of undocumented immigrant workers were arrested. Rubashkin, a father of 10, was the chief executive overseeing the slaughterhouse and headquarters for a family business that was then the largest kosher meat-processing company in the United States.  The U.S. Supreme Court in 2012 refused to hear an appeal contesting Rubashkin’s sentence, which his lawyers argued was excessive for a first-time, non-violent offender. His lawyers also contended, to no avail, that he was entitled to a new trial based on evidence of alleged judicial misconduct. The case sparked an outcry from members of the legal and Orthodox Jewish communities who rallied to Rubashkin’s defense. The White House statement cited letters of support for review of Rubashkin’s case from more than 30 members of Congress of both parties, including House of Representatives Democratic leader Nancy Pelosi and veteran Republican Senator Orrin Hatch.  Trump also pointed to bipartisan expressions of support for review of the case from over 100 former high-ranking U.S. Justice Department officials, prosecutors, judges and legal scholars. The White House further noted criticism of Rubashkin’s sentencing as unusually harsh in comparison to penalties imposed on others for similar white-collar crimes. Former Enron chief executive Jeffrey Skilling was originally sentenced to 24 years in prison, but a federal judge later shortened his term of 14 years. The former CEO of Tyco International Ltd, L. Dennis Kozlowski, was sentenced to 8-1/3 to 25 years in prison and was paroled after serving eight. ",politicsNews,no
