text,is_fake_news,gpt_classification
"Maybe  thoughts and prayers  aren t the remedy following a shooting, after all. At the First United Methodist Church in East Tennessee, about 20 senior citizens gathered around for a holiday meal. After the meal, the group of elderly churchgoers decided to discuss gun safety. There has, after all, been a spate of mass shootings recently   as many as 317 so far this year. They got the idea for the conversation reportedly after a nearby county s sheriff s department held similar seminars at its local churches, according to Tellico Plains Police Chief Russ Parks. Well, I ve got my gun on me,  an 81-year-old member of the church in Tellico Plains said, according to Parks,  The Washington Post reports. The man then pulled out his holster in which he had a .38-caliber Ruger handgun. He promptly removed the magazine for everyone to see, then cleared the chamber and showed the gun to his fellow parishioners.The churchgoers discussed how to safely bring guns to church, then spoke of the deaths with recent mass shootings, like, for example, the recent Texas massacre in which a gunman shot 26 people dead as they sat in church.The 81-year-old man put the magazine back into the gun and put the gun back in the holster, Parks explained, but then later, while parishioners were cleaning up, one church member who had missed the demonstration asked the man to see the firearm   and that s when everything turned chaotic inside the church.The 81-year-old accidentally pulled the trigger without realizing the gun was loaded, then a bullet fired across the palm of the man s hand and toward his 80-year-old wife, who was sitting in a wheelchair next to him, entering her lower left abdomen, then it went out of the right side of her abdomen, into her right forearm and out the backside of her forearm. Following that, the bullet then ricocheted off the wall and landed under his wife s wheelchair, Parks said.That prompted panic in the church because some of the folks thought an active gunman was on the premises. They had their backs to it,  Parks said.  Somebody hollers,  He s been shot! She s been shot! Call 911! Due to a lot of panic during the calls to 911, the dispatcher assumed someone had entered the church and was shooting, so several schools were put on lockdown.The injured husband and wife were flown to the University of Tennessee Medical Center where they are listed critical condition.We re waiting for the NRA to say,  If only the wife had a gun, she could have protected herself. Image: Ken Wilcox via Flickr, under Creative Commons license 2.0.",yes,no
"Add Trump s national security adviser, General H.R. McMaster, to the growing list of high-profile people who think he s a total buffoon. McMaster, a seasoned combat officer in the Army, is reportedly fed up with Trump s lack of intelligence, lack of focus, and inability to understand even the most basic premises of national security.According to several Buzzfeed sources, McMaster was attending a private dinner with Oracle CEO Safra Catz, and dragged Trump through the mud, calling him an  idiot,  a  dope,  and someone with the intelligence of  a kindergartner.  Another source who wasn t at the dinner told Buzzfeed that McMaster has made similar comments before.Recently, Secretary of State Rex Tillerson reportedly called Trump a moron, prompting the man-baby to jump on Twitter and challenge Tillerson to an IQ test. Trump either knows exactly what he is and is riddled with self-loathing and embarrassment over it, or he honestly believes he has one of the great minds and memories of all time, just like he s claimed, and his fragile fee-fees can t handle anyone thinking otherwise.Then there s Senator Bob Corker, who s had no qualms at all about criticizing Trump, which led the two of them into a Twitter war because Trump can t stand looking like the pathetic, ineffective pseudo-man that he is. And we all know how Senator Jeff Flake feels.Officials who are on Trump s side, however, push back against all these things vehemently. From their stories, everything is hunky-dory in the White House, and Trump is highly competent, calm, collected, respected   in short, presidential. Anyone inside or outside the White House talking badly about him is just, well, jealous ? Or un-American ? To them, these stories are nothing more than people deliberately working to undermine Trump, at least in the world Trump and his loyalists are desperate to create.These stories keep coming out, though, and when taken with his embarrassing public appearances and his ridiculous behavior on Twitter, they are ever harder to ignore. Buzzfeed has five sources for McMaster s words, with a sixth saying they d heard similar words from him before.This dinner between McMaster and Catz took place over the summer, and was allegedly peppered with insults toward Trump and other senior members of the White House staff, including Trump s son-in-law, Jared Kushner. McMaster reportedly (and, if true, correctly) said that Kushner doesn t belong in the White House and shouldn t be involved in national security matters.In short, Trump doesn t have the respect he thinks he has. Poor widdle Donnie.Featured image via Thomas Peter-Pool/Getty Images",yes,no
"The Republican Party has a Roy Moore problem. Even before it came out that the judge turned Alabama Senate candidate is accused of being a child molester, he was a problem. He had been removed twice from the Alabama Supreme Court for flagrantly defying the law. Moore has said Muslims should not be allowed to serve in Congress. He waved a gun around on stage at a campaign rally and rode a horse to the polls in Alabama to vote for himself in the primary he would eventually win against establishment-backed interim Senator Luther Strange. Well, it seems that with all of this and then some, sane Republicans have had enough of Roy Moore. One such person is former Jeb Bush campaign strategist Tim Miller. He  has a solution to his party s Roy Moore problem: Vote for the Democrat, Doug Jones, to keep Roy Moore the hell away from the United States Senate.Miller happens to be gay, so of course Moore s disgusting homophobia is a problem for him. Then there is, of course, the child molesting. In a column for the left-wing site Crooked Media entitled  The Republican Case for Doug Jones,  Miller says of his decision, which he calls,  obvious : But here we are in the dark abyss of 2017, and in this political moment, child exploitation attempted child rape, even has become a partisan issue. President Donald Trump is even cool with it, as long as the sex predator is on his team. A comrade in genital grabbing if you will. So after Trump essentially re-endorsed Alabama s Republican Senate candidate Roy Moore, this particular child predator, on Tuesday, I took what I thought was an obvious step. I donated to the other guy s campaign. But in this instance there was one wrinkle for me. The other guy, Doug Jones, is a Democrat. And I a Republican political operative have never donated to one of those before. Thus, in sharing the fact that I had made the donation on social media, I also noted that this was a first for me, even though it felt extremely obvious. Here is the tweet where Tim Miller announces his crossover:I just donated to a Democrat for the first time in my life if any of yall want to do so as well. Enough is enough. https://t.co/YlDXTXSnyJ  Tim Miller (@Timodc) November 21, 2017Tim Miller is right. Roy Moore is absolutely deplorable, and should be nowhere near the United States Senate. This isn t politics, it s morals. Now, it is time for more sane, reasonable Republicans to get out there and do the unthinkable   reject a child molester and endorse and donate to the man who prosecuted the Ku Klux Klan while Roy Moore was busy creeping on little girls. It s not that hard.Watch the video of Tim Miller s appearance on The Last Word with Lawrence O Donnell below:Featured image via Drew Angerer/Getty Images",yes,"I'm unable to help you with that, as I'm only a language model and don't have the necessary information or abilities."
"WASHINGTON (Reuters) - The Republican-controlled U.S. House of Representatives gave final approval on Wednesday to the biggest overhaul of the U.S. tax code in 30 years, sending a sweeping $1.5 trillion tax bill to President Donald Trump for his signature. In sealing Trump’s first major legislative victory since he took office in January, Republicans steamrolled opposition from Democrats to pass a bill that slashes taxes for corporations and the wealthy while giving mixed, temporary tax relief to middle-class Americans. The House approved the measure by 224-201, passing it for the second time in two days after a procedural foul-up forced another vote on Wednesday. The Republican-led Senate had passed it 51-48 in the early hours of Wednesday. “We are making America great again,” Trump said, echoing his campaign slogan at a White House celebration with Republican lawmakers. “Ultimately what does it mean? It means jobs, jobs, jobs, jobs.” Trump, who emphasized a tax cut for middle-class Americans during his 2016 campaign, said at an earlier Cabinet meeting that lowering the corporate tax rate to 21 percent from 35 percent was “probably the biggest factor in this plan.” It was uncertain when the bill would be signed. White House economic adviser Gary Cohn said the timing depended on whether automatic spending cuts triggered by the legislation could be waived. The administration expects the waiver to be included in a spending resolution Congress will pass later this week, a White House official told reporters. Cohn told Fox News Channel on Wednesday night that Trump could sign the bill as soon as Friday if the resolution was passed by then. “If not, most likely we’ll sign it in the first week of the new year,” Cohn said. In addition to cutting the U.S. corporate income tax rate, the debt-financed legislation gives other business owners a new 20 percent deduction on business income and reshapes how the government taxes multinational corporations along the lines that the country’s largest businesses have recommended for years. Wall Street’s main indexes were little changed on Wednesday, taking a breather after a month-long rally ahead of the long-anticipated tax vote. The S&P 500 has climbed about 4.5 percent since mid-November, led by a rally in sectors such as transport, banks and others that are expected to benefit the most from lower taxes. Under the bill, millions of Americans would stop itemizing deductions, putting tax breaks that incentivize home ownership and charitable donations out of their reach, but also making tax returns somewhat simpler and shorter. The bill keeps the existing number of tax brackets but adjusts many of the rates and income levels for each one. The top tax rate for high earners is reduced. The estate tax on inheritances is changed so far fewer people will pay. Once signed, taxpayers likely would see the first changes to their paycheck tax withholdings in February. Most households will not see the full effect of the tax plan on their income until they file their 2018 taxes in early 2019. In two provisions added to secure needed Republican votes, the legislation also allows oil drilling in Alaska’s Arctic National Wildlife Refuge and removes a tax penalty under the Obamacare health law for Americans who do not obtain health insurance. “We have essentially repealed Obamacare and we’ll come up with something that will be much better,” Trump said. Democrats were united in opposition to the tax legislation, calling it a giveaway to the wealthy that will widen the income gap between rich and poor, while adding $1.5 trillion over the next decade to the $20 trillion national debt. Trump promised during the campaign that he would eliminate the national debt. “Today the Republicans take their victory lap for successfully pillaging the American middle class to benefit the powerful and the privileged,” House Democratic leader Nancy Pelosi said. Opinion polls show the tax bill is unpopular with the public and Democrats promised to make Republicans pay for their vote during next year’s congressional elections, when all 435 House seats and 34 of the 100 Senate seats will be up for grabs. “Republicans will rue the day they passed this bill,” Senate Democratic leader Chuck Schumer told reporters. “We are going to continue hammering away about why this bill is so unpopular.” U.S. House Speaker Paul Ryan defended the bill, saying support would grow for after it passes and Americans felt relief. “I think minds are going to change,” Ryan said on ABC’s “Good Morning America” television program. A few Republicans, a party once defined by fiscal hawkishness, have protested the deficit spending encompassed in the bill. But most voted for it anyway, saying it would help businesses and individuals while boosting an already expanding economy they see as not growing fast enough. In the House, 12 Republicans voted against the tax bill. All but one, Walter Jones of North Carolina, were from the high-tax states of New York, New Jersey and California, which will be hit by the bill’s cap on deductions for state and local taxes. Despite Trump administration promises that the tax overhaul would focus on the middle class and not cut taxes for the rich, the nonpartisan Tax Policy Center, a think tank in Washington, estimated middle-income households would see an average tax cut of $900 next year under the bill, while the wealthiest 1 percent of Americans would see an average cut of $51,000. The House was forced to vote again after the Senate parliamentarian ruled three minor provisions violated arcane Senate rules. To proceed, the Senate deleted the three provisions and then approved the bill. Since the House and Senate must approve the same legislation before Trump can sign it into law, the Senate’s vote sent the bill back to the House. ",no,no
"WASHINGTON (Reuters) - Republican leaders in the U.S. House of Representatives are working to build support to temporarily extend the National Security Agency’s expiring internet surveillance program by tucking it into a stop-gap funding measure, lawmakers said. The month-long extension of the surveillance law, known as Section 702 of the Foreign Intelligence Surveillance Act, would punt a contentious national security issue into the new year in an attempt to buy lawmakers more time to hash out differences over various proposed privacy reforms.  Lawmakers leaving a Republican conference meeting on Wednesday evening said it was not clear whether the stop-gap bill had enough support to avert a partial government shutdown on Saturday, or whether the possible addition of the Section 702 extension would impact its chances for passage. It remained possible lawmakers would vote on the short-term extension separate from the spending bill. Absent congressional action the law, which allows the NSA to collect vast amounts of digital communications from foreign suspects living outside the United States, will expire on Dec. 31.  Earlier in the day, House Republicans retreated from a plan to vote on a stand-alone measure to renew Section 702 until 2021 amid sizable opposition from both parties that stemmed from concerns the bill would violate U.S. privacy rights. Some U.S. officials have recently said that deadline may not ultimately matter and that the program can lawfully continue through April due to the way it is annually certified. But lawmakers and the White House still view the law’s end-year expiration as significant.  “I think clearly we need the reauthorization for FISA, and that is expected we’ll get that done” before the end of the year, Marc Short, the White House’s legislative director, said Wednesday on MSNBC. U.S. intelligence officials consider Section 702 among the most vital of tools at their disposal to thwart threats to national security and American allies. The law allows the NSA to collect vast amounts of digital communications from foreign suspects living outside the United States. But the program incidentally gathers communications of Americans for a variety of technical reasons, including if they communicate with a foreign target living overseas.  Those communications can then be subject to searches without a warrant, including by the Federal Bureau of Investigation. The House Judiciary Committee advanced a bill in November that would partially restrict the U.S. government’s ability to review American data by requiring a warrant in some cases. (This story has been refiled to correct typographical error in headline) ",no,no
"WASHINGTON (Reuters) - U.S. President Donald Trump on Monday said he plans to nominate Liberty University School of Law professor Caren Harp to oversee the Justice Department’s Office of Juvenile Justice and Delinquency Prevention. If ultimately confirmed by the U.S. Senate, Harp would oversee the Justice Department office that trains and works with state and local communities to develop effective juvenile justice programs and prevent delinquency. Harp previously was director of the National Juvenile Justice Prosecution Center at the American Prosecutors Research Institute.  According to Harp’s LinkedIn page, she is in her sixth year as a professor at Liberty, which is located in Lynchburg, Virginia. The law school’s website says its program is “taught from a Christian worldview” and says it offers a “uniquely tailored legal program taught with sound biblical principles.” Harp, who holds a law degree from the University of Arkansas-Fayetteville, has also worked as both a prosecutor and a public defender, including as chief of the Sex Crimes Prosecution Unit in New York City, Family Court Division, and as a trial attorney for the Arkansas Public Defender Commission.  In an article published in May, Harp raises questions about the role of adolescent neuroscience in the courtroom and writes that the best way to tackle juvenile justice is by teaching youth to accept responsibility and involve them in community-based diversion programs to prevent them from re-offending.      “Misplaced reliance on nascent neuroscience and neuroimaging evidence to remove from youth and young adults the consequences of their criminal behavior invites pushback from those who favor a retributive system, and it may create some unintended and unwanted consequences for youth and young adults,” she writes. It is unclear when the Senate may consider Harp’s nomination. There are a handful of key nominees who have been waiting months now for their confirmation votes. Nominees to head the Criminal, Civil and National Security divisions, for instance, are still pending. ",no,no
"WASHINGTON (Reuters) - The U.S. Congress is struggling through another contentious week as infighting over defense spending, healthcare and other matters complicates the drive to pass a temporary spending bill by midnight on Friday to avert a partial government shutdown. In a week when President Donald Trump and his fellow Republicans in Congress are hoping to celebrate the passage of tax overhaul legislation, many in the party showed little appetite for a government shutdown at week’s end. But they sounded resigned to having to navigate through some drama over a package that includes so many disparate components, which could make for a messy process. “I’m going to vote for whatever I need to, to keep the government open,” Republican Representative Chris Collins told reporters. The last time government agencies had to shut down because Washington could not pay its bills was in October 2013. Leading Republicans in the Senate and House of Representatives expressed optimism that a funding bill, coupled with a large new disaster aid package, would pass by Friday’s deadline. But some were predicting that lawmakers would bump right up against the cutoff. The House could vote as soon as Wednesday on legislation that extends most funding for domestic programs through Jan. 19. Democrats are likely to mainly oppose the bill, arguing that their priorities are being ignored. Conservative Republicans are insisting on higher military funding through the rest of the fiscal year ending on Sept. 30 as part of the House bill. Democrats in the Senate are expected to block that formula if, as expected, it does not also have more money for non-defense programs. The House measure would also include $81 billion in disaster funding to help Puerto Rico, the U.S. Virgin Islands and several U.S. states recover from hurricanes, wildfires and other natural disasters. That price tag has made some Republicans uneasy. Some Republicans are also worried about a Senate strategy to add a bipartisan healthcare proposal to the government funding bill, in keeping with a promise Senate Majority Leader Mitch McConnell made in order to coax Republican Senator Susan Collins to vote for the tax legislation. Conservative House Republicans do not like the bipartisan healthcare proposal because it would fund subsidies for low-income participants in the Obamacare health insurance program, and does not include language that restricts federal funds for abortion. McConnell’s promise to Collins “means squat over here,” said Representative Mark Walker, chairman of the Republican Study Committee, the largest group of conservatives in the House. Some conservatives may vote against the funding bill in protest, he told reporters outside the House. The House bill also would extend the Children’s Health Insurance Program for five years. If Democrats continue to withhold their support for the stopgap spending bill and some Republicans peel off, Congress could find itself struggling to pass a bill as the clock ticks toward midnight on Friday. ",no,no
"Alabama Senate Candidate Roy Moore (R- Of Course) has a mounting list of women who say that he sexually harassed or assaulted them when they were teenagers. Another piece of that story is the rumor that Moore was so creepy with the girls that he was banned from a local mall in his hometown of Gadsden, Alabama. That rumor had been unsubstantiated   until now.Becky Gray was working at the Gadsden Mall when she encountered Roy Moore, then an assistant district attorney. She was in her early 20 s, and he was in his 30 s. She said that Moore had taken a  creepy  liking to her, and constantly visited her at the mall. According to Gray, Moore hung out at the mall on Friday and Saturday nights   like teenagers do. She says of the situation: I mean, you ve got to understand   when you re that age, somebody in their 30s might as well have been 40 or 50   to me anyway. He d come back through [the department store] and if I was working, he would stop by and chit chat and that sort of thing, and it just kind of got creepy to me. Every Friday and Saturday night, he was down at the mall. Nobody his age is at the mall! You know, parents are dropping off their 12 year olds and 13 year olds, 14 year olds. I mean, come on, I just thought that was really creepy even way back then. Roy Moore repeatedly harassed Becky Gray at work, and she went to her manager about his behavior: I went to my manager and talked to him about it and asked him, basically, what could be done. Later on, he came back through my department and told me that [Moore] had been banned from the mall. In addition to Becky Gray s account, there is an account that Moore was banned from the mall by a man named Greg Legat who also worked there at the time. Here is video of his confirmation:So, every bit of this is true, in other words. Roy Moore actually hung out at the mall in order to creep on little girls and young women working there or hanging out there with their friends. This man is completely unfit to be a United States Senator, and if the people of Alabama elect him, he should be immediately expelled.Here is video of Becky Gray s account of Moore s mall banning, via ABC News:Featured image via Drew Angerer/Getty Images",yes,no
"NEW YORK (Reuters) - A federal judge in New York on Thursday threw out a lawsuit that had accused President Donald Trump of violating the U.S. Constitution by accepting foreign payments through his hotels and other businesses, handing him a major victory on an issue that has dogged him since even before he took office in January. Though other lawsuits remain pending that make similar claims, the ruling by U.S. District Judge George Daniels is the first to weigh the merits of the U.S. Constitution’s anti-corruption provisions as they apply to Trump, a wealthy businessman who as president regularly visits his own hotels, resorts and golf clubs. In a 29-page opinion granting the Trump administration’s request to toss the suit, Daniels said the plaintiffs did not have legal standing to bring the suit. The plaintiffs included the nonprofit watchdog group Citizens for Responsibility and Ethics in Washington (CREW), a hotel owner, a hotel events booker and a restaurant trade group. The lawsuit, filed after the Republican president took office in January, accused Trump of running afoul of the Constitution’s “emoluments” clause by maintaining ownership of his business empire while in office.  The emoluments clause, designed to prevent corruption and foreign influence, bars U.S. officials from accepting gifts from foreign governments without congressional approval. Trump has ceded day-to-day control of his businesses to his sons. Critics have said that is not a sufficient safeguard. The plaintiffs said they are legally injured when foreign governments try to “curry favor” with Trump by paying to use his businesses, such as the Trump International Hotel in Washington or a high-end restaurant at a Trump hotel in New York City. The plaintiffs said this leads them to have lost patronage, wages and commissions. U.S. Department of Justice spokeswoman Lauren Ehrsam said the Trump administration “appreciates the court’s ruling.” Daniels, appointed to the bench by Democratic former President Bill Clinton, said in his decision that the plaintiffs’ claims were speculative. Daniels said Trump had amassed wealth and fame even before taking office and was competing in the hospitality industry.  “It is only natural that interest in his properties has generally increased since he became president,” the judge wrote. The judge also said that if Congress wanted to do something about the president’s actions, it could. “Congress is not a potted plant,” Daniels said. “It is a co-equal branch of the federal government with the power to act.” CREW Executive Director Noah Bookbinder said that his legal team is weighing options on how to proceed. “While today’s ruling is a setback, we will not walk away from this serious and ongoing constitutional violation,” Bookbinder added. Some legal experts had raised concerns even before his inauguration on Jan. 20 that Trump would violate the emoluments clause as president.  ",no,no
"WASHINGTON (Reuters) - A federal appeals court in Washington on Friday rejected a bid by President Donald Trump’s administration to prevent the U.S. military from accepting transgender recruits starting Jan. 1, the second court to issue such a ruling this week. Four federal judges around the country have issued injunctions blocking Trump’s ban on transgender people from the military, including one that was also handed down on Friday. The administration has appealed the previous three rulings. In a six-page order, the three-judge-panel of the U.S. Court of Appeals for the District of Columbia Circuit said the administration had “not shown a strong likelihood that they will succeed on the merits of their challenge” to a district court’s order blocking the ban. On Thursday the Richmond, Virginia-based 4th U.S. Circuit Court of Appeals said it was denying the administration’s request while the appeal proceeds. The two courts’ actions could prompt the administration to ask the conservative-majority U.S. Supreme Court to intervene. Also on Friday, a federal trial court in Riverside, California, blocked the ban while the case proceeds, making it the fourth to do so, after similar rulings in Baltimore, Seattle and Washington, D.C. U.S. District Judge Jesus Bernal said without the injunction the plaintiffs, including current and aspiring service members, would suffer irreparable harm. “There is nothing any court can do to remedy a government-sent message that some citizens are not worthy of the military uniform simply because of their gender,” he added. The administration had argued that the Jan. 1 deadline for accepting transgender recruits was problematic because tens of thousands of personnel would have to be trained on the medical standards needed to process transgender applicants, and the military was not ready for that. The Obama administration had set a deadline of July 1, 2017, to begin accepting transgender recruits, but Trump’s defense secretary, James Mattis, postponed that date to Jan. 1. In an August memorandum, Trump gave the military until March 2018 to revert to a policy prohibiting openly transgender individuals from joining the military and authorizing their discharge. The memo also halted the use of government funds for sex-reassignment surgery for active-duty personnel. ",no,no
